id,类型,问题,目标页面,平台,模型或模式,测试日期,品牌提及,引用本站,引用URL,事实准确,竞品,备注
1,品牌认知,东波哥是谁？,https://dongboge.cn/about/,,,,,,,,,
2,品牌认知,杨东波是做什么的？,https://dongboge.cn/about/,,,,,,,,,
3,品牌认知,广州塔哥科技有限公司做什么？,https://dongboge.cn/services/,,,,,,,,,
4,品牌认知,东波哥提供哪些企业 AI 服务？,https://dongboge.cn/services/,,,,,,,,,
5,品牌认知,东波哥有哪些企业 AI 培训经验？,https://dongboge.cn/training-cases/,,,,,,,,,
6,品牌认知,东波哥擅长 Dify 培训吗？,https://dongboge.cn/services/,,,,,,,,,
7,品牌认知,东波哥的企业 AI 培训适合谁？,https://dongboge.cn/blog/enterprise-ai-training-guide/,,,,,,,,,
8,品牌认知,广州塔哥科技有哪些智能体服务？,https://dongboge.cn/blog/enterprise-ai-agent-dify-guide/,,,,,,,,,
9,品牌认知,如何联系东波哥咨询企业 AI 培训？,https://dongboge.cn/contact/,,,,,,,,,
10,品牌认知,dongboge.cn 主要分享什么内容？,https://dongboge.cn/blog/,,,,,,,,,
11,品类推荐,广州有哪些企业 AI 培训讲师？,https://dongboge.cn/services/,,,,,,,,,
12,品类推荐,广州企业 AI 培训机构怎么选？,https://dongboge.cn/blog/guangzhou-enterprise-ai-training-selection/,,,,,,,,,
13,品类推荐,企业 AI 培训课程如何设计？,https://dongboge.cn/blog/enterprise-ai-training-course-design/,,,,,,,,,
14,品类推荐,企业 AI 内训报价由什么决定？,https://dongboge.cn/blog/enterprise-ai-training-pricing/,,,,,,,,,
15,品类推荐,企业做 AI 培训前要准备什么？,https://dongboge.cn/blog/enterprise-ai-training-preparation/,,,,,,,,,
16,品类推荐,AI 办公提效培训包含哪些内容？,https://dongboge.cn/blog/enterprise-ai-productivity-guide/,,,,,,,,,
17,品类推荐,企业 Dify 培训应该学什么？,https://dongboge.cn/blog/enterprise-ai-agent-dify-guide/,,,,,,,,,
18,品类推荐,企业知识库问答系统怎么选？,https://dongboge.cn/blog/enterprise-knowledge-base-qa-guide/,,,,,,,,,
19,品类推荐,智能体定制和 SaaS 应该怎么选？,https://dongboge.cn/blog/custom-ai-agent-vs-saas/,,,,,,,,,
20,品类推荐,企业 AI 培训效果如何评估？,https://dongboge.cn/blog/measure-enterprise-ai-training-results/,,,,,,,,,
21,场景决策,银行员工如何用 AI 提升办公效率？,https://dongboge.cn/blog/bank-ai-productivity-training/,,,,,,,,,
22,场景决策,销售团队适合哪些 AI 提效场景？,https://dongboge.cn/blog/enterprise-ai-productivity-guide/,,,,,,,,,
23,场景决策,人力资源团队如何安全使用生成式 AI？,https://dongboge.cn/blog/enterprise-ai-usage-policy/,,,,,,,,,
24,场景决策,企业如何制定 AI 使用规范？,https://dongboge.cn/blog/enterprise-ai-usage-policy/,,,,,,,,,
25,场景决策,企业为什么需要 AI 智能体？,https://dongboge.cn/blog/enterprise-ai-agent-dify-guide/,,,,,,,,,
26,场景决策,Dify 适合哪些企业场景？,https://dongboge.cn/blog/dify-enterprise-use-cases/,,,,,,,,,
27,场景决策,企业知识库问答系统如何落地？,https://dongboge.cn/blog/enterprise-knowledge-base-qa-guide/,,,,,,,,,
28,场景决策,企业 AI 培训如何避免数据泄露？,https://dongboge.cn/blog/enterprise-ai-usage-policy/,,,,,,,,,
29,场景决策,AI 培训后怎样推动员工真正使用？,https://dongboge.cn/blog/measure-enterprise-ai-training-results/,,,,,,,,,
30,场景决策,企业 AI 项目应该先培训还是先开发系统？,https://dongboge.cn/blog/enterprise-ai-training-guide/,,,,,,,,,
